,Data,Countries,Local,Industry Sector,Accident Level,Potential Accident Level,Genre,Employee or Third Party,Critical Risk,Description
55,3/2/2016 0:00,Country_02,Local_08,Metals,I,III,Male,Employee,Pressed,"The operator was in the center (Demag IV), performing maintenance. When transporting the hydraulic cylinder with the help of another operator the official was unbalanced coming the cylinder that carried to press his finger (Left thumb) against the pillar of support of the oven specified below (figure)."
70,3/10/2016 0:00,Country_02,Local_05,Metals,I,II,Male,Employee,Pressed,"The employee reports that when he lowered the cloths in the purification, he arranged the cart so that it would not grab the pipe, pressing his left hand between the cloths and the cart."
84,3/31/2016 0:00,Country_02,Local_08,Metals,I,III,Male,Third Party (Remote),Pressed,"The employee, performing the truck's unloading operation, an iron bundle pressed his right finger and injured his left arm."
96,4/5/2016 0:00,Country_02,Local_05,Metals,I,III,Male,Third Party,Pressed,Employee reports that when handling the air conditioning pressed the 2nd right chirodactilo causing a contusion.
115,4/30/2016 0:00,Country_02,Local_05,Metals,I,IV,Male,Employee,Pressed,"The employee performed the return of the load at the entrance of the debarking machine, while trying to align a cathode was pressed in his right hand."
177,7/4/2016 0:00,Country_01,Local_06,Metals,III,IV,Male,Third Party,Pressed,"At 11:00 a.m., Mr. Frank with the support of another mechanic, was preparing to place on the floor a metal part called the rear bridge of the forklift. At that moment the part moving part moves generating a blow to the middle finger of the left hand"
209,8/22/2016 0:00,Country_02,Local_05,Metals,I,III,Male,Employee,Pressed,"The employee was performing cutting activity on a carbon steel pipe attached to the band saw machine. Due to uneven weight distribution, the tube moved downward and the other end was projected upwards, pressing the thumb."
229,9/17/2016 0:00,Country_01,Local_06,Metals,I,II,Male,Third Party,Pressed,"On September 17, 2016 at approximately 8:35 pm, during the preventive maintenance of the G2142 debarking machine, the bearing assembly is made on the anode cleaning roller; When fitting the bearing in its final position, the staff used a chisel and a 4-pound rope to position the bearing. The worker places his left hand near the head of the chisel and warps, in these circumstances a splinter is embedded in the proximal part of the thumb of the left hand, immediately the collaborator communicates to the supervisor and is evacuated to the Medical for review."
243,10/3/2016 0:00,Country_02,Local_05,Metals,I,III,Male,Employee,Pressed,"After carrying out the supply operation of the zinc powder container using the crane to move it, the employee closed the lower lock of this same container and when making the movement to push the lock made an excessive effort with the thumb of the right hand, causing sprain."
244,10/3/2016 0:00,Country_02,Local_08,Metals,I,II,Male,Employee,Pressed,During the withdrawal of cathode sample the employee came to press the finger with the tool that cuts the sample.
261,10/29/2016 0:00,Country_02,Local_08,Metals,IV,IV,Male,Employee,Pressed,"In the activity of placing boards on racks for the exchange of fabrics of the filters, one of the plates was inclined, trying to put the plate in the correct position, the plate arm pressed the back of the right hand against the structure of the easel"
299,1/2/2017 0:00,Country_01,Local_06,Metals,I,II,Male,Third Party (Remote),Pressed,"At 13:40 hours, Mr. Jose performed the erasing of the earthenware of section 30, when turning on the machine of alizado (ironing) of concrete, this tour abruptly imprisoning his left hand between the command of the equipment and the metal structure, causing an atriction in the back of the left hand."
302,1/6/2017 0:00,Country_02,Local_08,Metals,I,I,Male,Employee,Pressed,"During the preparation for the scaffolding activity, the employee was loading the pieces to the designated place where he had his finger pressed between the metal pieces that were being moved."
334,2/8/2017 0:00,Country_02,Local_08,Metals,I,I,Male,Third Party (Remote),Pressed,"During the activity for packaging the cylindrical piece on the easel, the employee carried the pieces to the designated place where he had his finger pressed between the metal pieces that were being moved."
339,2/13/2017 0:00,Country_02,Local_08,Metals,II,III,Male,Employee,Pressed,"While preparing to mount polypropylene tubing, the employee pulled the pickup from the truck and positioned it in place, pressing the finger between the tube and the concrete wall."
342,2/14/2017 0:00,Country_01,Local_03,Mining,IV,V,Male,Third Party,Pressed,"In the Nv. 3370, CX 212 - South, when the Mechanic loosens a through bolt of the intermediate cardan protector of the Dumper 01, the protector is released and imprisons the first finger of the left hand against the connector of the hydraulic steering cylinder (Position 2) ."
394,4/25/2017 0:00,Country_01,Local_01,Mining,IV,IV,Male,Employee,Pressed,"Performing the cleaning of material (Mineral) that accumulates between the steel plate and the concrete base on which it rests; As shown in the photograph (steel plate thickness = 1/2 in.), in order to complete this cleaning, the workers decide to weld on the steel plate a support eyelet type and at the other end as a fixed point and fastening a pin helical (support), in such a way to lift the plate with the help of a key and remove all the accumulated material. In the instant that they were pulling the chain of the tecla, the injured one had his left hand resting on the concrete wall (the line of fire), product of the tension exerted by the tecle, the helical bolt breaks and the chain lashes on the index finger generating the injury. At the time of the accident, the accident victim used all his epps, including his gloves."
408,5/18/2017 0:00,Country_01,Local_06,Metals,IV,IV,Male,Third Party,Pressed,"Being 10:20 hours on 05/18/2017; At the end of the concentrate truck cleaning, the driver is instructed to close the gate; At that moment, Mr. Carlos who was in the back of the vehicle, reported having an injury to his left hand. He is transferred to the medical center for his attention and later evacuation to the clinic."
418,6/11/2017 0:00,Country_01,Local_04,Mining,I,II,Male,Employee,Pressed,"In circumstances where the worker and two partners were placing a killer bomb in the basket of a Manitou team, the bomb hits the index finger of the right hand against the basket."
421,6/14/2017 0:00,Country_02,Local_02,Mining,III,IV,Male,Third Party (Remote),Pressed,"The employee performed insertion and adjustment of the joint in the blind flange of a 54 ""tubing, when one of the wedges shifted, causing movement in the flange, causing the 3rd and 4th fingers of the left hand to be pressed."
433,6/29/2017 0:00,Country_02,Local_02,Mining,I,III,Male,Employee,Pressed,"After maintenance on Boltec 03 at level 285 GTS of Rampa XXX, the mechanic and operator of the equipment performed tests on the equipment magazine. When the magazine carousel was turned on, the operator had his left middle finger pressed against the equipment frame."
302,1/6/2017 0:00,Country_02,Local_08,Metals,I,I,Male,Employee,Pressed,"During the preparation for the scaffolding activity, the employee was loading the pieces to the designated place where he had his finger pressed between the metal pieces that were being moved."
334,2/8/2017 0:00,Country_02,Local_08,Metals,I,I,Male,Third Party (Remote),Pressed,"During the activity for packaging the cylindrical piece on the easel, the employee carried the pieces to the designated place where he had his finger pressed between the metal pieces that were being moved."
339,2/13/2017 0:00,Country_02,Local_08,Metals,II,III,Male,Employee,Pressed,"While preparing to mount polypropylene tubing, the employee pulled the pickup from the truck and positioned it in place, pressing the finger between the tube and the concrete wall."
342,2/14/2017 0:00,Country_01,Local_03,Mining,IV,V,Male,Third Party,Pressed,"In the Nv. 3370, CX 212 - South, when the Mechanic loosens a through bolt of the intermediate cardan protector of the Dumper 01, the protector is released and imprisons the first finger of the left hand against the connector of the hydraulic steering cylinder (Position 2) ."
394,4/25/2017 0:00,Country_01,Local_01,Mining,IV,IV,Male,Employee,Pressed,"Performing the cleaning of material (Mineral) that accumulates between the steel plate and the concrete base on which it rests; As shown in the photograph (steel plate thickness = 1/2 in.), in order to complete this cleaning, the workers decide to weld on the steel plate a support eyelet type and at the other end as a fixed point and fastening a pin helical (support), in such a way to lift the plate with the help of a key and remove all the accumulated material. In the instant that they were pulling the chain of the tecla, the injured one had his left hand resting on the concrete wall (the line of fire), product of the tension exerted by the tecle, the helical bolt breaks and the chain lashes on the index finger generating the injury. At the time of the accident, the accident victim used all his epps, including his gloves."
